"","Name","Location","Tags","Group","Type","Source Zone","Source Address","Source User","Source Device","Destination Zone","Destination Address","Destination Device","Application","Service","URL Category","Action","Profile","Options","Rule UUID","Target","Rule Usage Description","Rule Usage Rule Usage","Rule Usage Apps Seen","Days With No New Apps","Modified","Created"
"136","WI216VENTOPAY1","PA01","none","none","universal","trust","WI216VENTOPAY1","any","any","untrust","any","any","soap;ssl;windows-azure-base","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","edbb17f6-6618-46f7-be7d-9be8882724b4","any","none","Used","3","96","2023-02-08 13:47:00","2023-02-08 11:55:16"
"137","WI219APP01","PA01","none","none","universal","trust","WI219APP01","any","any","untrust","any","any","soap;ssl","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","b3096204-19b7-4059-b70e-d7630f857236","any","none","Used","2","21","2023-02-08 13:47:00","2023-02-08 12:55:50"
"138","Qnap-Nas","PA01","none","none","universal","trust","ecmnas01;edinasw2;Ghostnasw2","any","any","untrust","any","any","soap;ssl;web-browsing","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","f1bc3c25-6bee-4435-b327-9078788574fb","any","none","Used","2","104","2023-02-08 15:16:24","2023-02-07 11:34:02"
"139","WI216SFIRM1","PA01","none","none","universal","trust","WI216SFIRM1","any","any","untrust","any","any","soap;ssl","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","54a6125a-7f3e-4bdf-8007-383cf1c72fe6","any","none","Used","2","97","2023-02-08 13:47:00","2023-02-07 13:13:42"
"140","WI216DATEVXA","PA01","none","none","universal","trust","WI216DATEVXA","any","any","untrust","any","any","soap;ssl","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","b70581ee-5a67-46f1-b40c-61f2500fe9a6","any","none","Partially Used","2","90","2023-02-08 13:47:00","2023-02-07 12:38:55"
"141","WI216P2L01","PA01","none","none","universal","trust","wi216p2l01","any","any","untrust","any","any","soap;ssl","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","b9bcc2d2-15c8-4817-9d33-d2fd2af98750","any","none","Used","2","85","2023-02-08 13:47:00","2023-02-07 12:25:58"
"142","WI216DS1","PA01","none","none","universal","trust","WI216DS1","any","any","untrust","any","any","soap;ssl","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","3936866b-8944-426a-9f83-32f662d2d92b","any","none","Partially Used","2","90","2023-02-08 13:47:00","2023-02-07 11:36:26"
"143","epost","PA01","none","none","universal","trust","epost","any","any","untrust","any","any","soap;ssl","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","1ad6755d-59a3-4d0c-9c37-1cb4810529dd","any","none","Used","1","105","2023-02-08 13:47:00","2023-02-07 11:31:23"
"144","WI222TRANSF-P1","PA01","none","none","universal","trust","WI222TRANSF-P1","any","any","untrust","any","any","soap;ssl","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","2af610ef-fa2e-45aa-a3c0-8bce2b76690d","any","none","Partially Used","2","50","2023-02-08 13:47:00","2023-02-07 11:10:20"
"145","WI216JOBROUTER1","PA01","none","none","universal","trust","wi216jobrouter1","any","any","untrust","any","any","soap;ssl","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","e6360eb6-7bfb-4d0c-8920-9e02a3b1cb9e","any","none","Used","2","18","2023-05-04 15:50:56","2023-05-04 15:19:20"
"146","lnxsplunk01","PA01","none","none","universal","trust","lnxsplunk01","any","any","untrust","any","any","dnf;ssl","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","f6baebe1-1473-4193-804d-ba1386e9f883","any","none","Partially Used","2","104","2023-02-08 15:34:30","2023-02-08 15:24:05"
"147","lnxcribl-p1","PA01","none","none","universal","trust","lnxcribl-p1","any","any","untrust","any","any","ssl","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","82431277-b8a0-4042-9c06-2866a7c38ff7","any","none","Used","1","105","2023-02-07 09:38:35","2023-02-07 09:25:56"
"148","lnxgit-p1","PA01","none","none","universal","trust","lnxgit-p1","any","any","untrust","any","any","apt-get;dnf;gitlab-base;ssl","application-default","URL_Oracle_Linux_u_Gitlab_Upd","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","a99df6ed-0cc1-490e-9b23-6332b7120a18","any","none","Used","2","32","2023-03-14 16:00:50","2023-03-06 09:06:02"
"149","opvizor","PA01","none","none","universal","trust","opvizor","any","any","untrust","any","any","apt-get;ssl","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","e55b2083-348f-45b7-b511-1584ccfa9eed","any","none","Partially Used","2","103","2023-02-09 08:22:56","2023-02-08 15:16:24"
"150","WI222MFA-P1","PA01","none","none","universal","trust","WI222MFA-P1","any","any","untrust","any","any","ms-office365-base;ssl","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","903151c9-10aa-46c5-97a7-9e28ec68e0a1","any","none","Used","2","102","2023-02-09 13:01:15","2023-02-09 12:57:13"
"151","lnxeasyredmine1","PA01","none","none","universal","trust","lnxredmine1","any","any","untrust","any","any","ssl","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","b17b8269-a57e-489e-9b25-c3a74cc60fa5","any","none","Partially Used","1","105","2023-02-09 13:01:15","2023-02-07 09:24:39"
"152","WI216AUSST1","PA01","none","none","universal","trust","WI216AUSST1","any","any","untrust","any","any","adobe-creative-cloud;soap;ssl;windows-push-notifications","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","9fabfdb1-a07f-4a41-bccf-b22944702722","any","Adobe Updates","Used","4","81","2023-03-01 10:01:22","2023-02-07 09:18:55"
"153","[Disabled]  ENAIO","PA01","[Disabled] none","[Disabled]  none","[Disabled] universal","[Disabled]  trust","[Disabled]  WI219CLANP01;[Disabled]  WI219ENAIO-P1;[Disabled]  WI219ENAIO-P2;[Disabled]  WI219ENAIO-P3;[Disabled]  WI219ENAIO-P4;[Disabled]  WI219ENAIO-P5;[Disabled]  WI219ENAIO-P6;[Disabled]  WI219ENAIO-P7;[Disabled]  WI219ENAIO-P8;[Disabled]  WI219ENAIO-P9;[Disabled]  WI219ENAIO-P10;[Disabled]  WI219ENAIO-P11;[Disabled]  WI219ENAIO-P12;[Disabled]  WI219ENAIO-P13;[Disabled]  WI219ENAIO-P14;[Disabled]  WI219ENAIO-P15;[Disabled]  WI219ENAIO-T1;[Disabled]  WI219OSCL-P2;[Disabled]  WI219OSCL-T","[Disabled]  any","[Disabled]  any","[Disabled]  untrust","[Disabled]  any","[Disabled]  any","[Disabled]  any","[Disabled]  application-default","[Disabled]  any","[Disabled]  Deny","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","a076c205-8dcb-4d73-99b1-9764b83e2191","[Disabled] any","[Disabled]  none","Used","0","-","2023-02-10 15:09:47","2023-02-07 09:16:13"
"154","WI216CTXDDC1","PA01","none","none","universal","trust","WI216CTXDDC1","any","any","untrust","any","any","google-analytics;soap;ssl;web-browsing","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","7fcf1c41-e001-4c31-9415-4f901526d29b","any","none","Partially Used","4","95","2023-02-07 09:53:33","2023-02-07 09:06:47"
"155","WI216ADFS1","PA01","none","none","universal","trust","WI216ADFS1","any","any","untrust","any","any","ms-office365-base;ocsp;ssl","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","c3bc2cbb-67af-4d98-9649-ed95c277031d","any","none","Used","4","56","2023-02-08 11:52:26","2023-02-07 08:56:37"
"156","WI216PS1","PA01","none","none","universal","trust","wi216ps1","any","any","untrust","any","any","soap;ssl;web-browsing","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","a467a14a-4d43-4048-b460-8e1eb3179449","any","none","Used","3","104","2023-02-08 13:47:00","2023-02-06 12:14:46"
"157","WI219CCELL-P1","PA01","none","none","universal","trust","WI219CCELL-P1","any","any","untrust","any","any","ocsp;soap;ssl","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","e18b949a-e343-47b4-9903-cf34be3e4668","any","none","Used","3","105","2023-02-06 12:35:10","2023-02-06 12:28:10"
"158","SAP_Out01","PA01","none","none","universal","trust","WI216SAPP1;WI216SAPQ1;WI216SAPT1","any","any","untrust","ITSG","any","soap;ssl","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: default","2b7c4785-0aaf-4f30-baf1-47290a3b7cfb","any","none","Used","1","106","2023-02-08 13:47:00","2023-02-06 12:04:21"
"159","SAP_Out02","PA01","none","none","universal","trust","WI216SAPP1;WI216SAPQ1;WI216SAPT1","any","any","untrust","any","any","ssl;web-browsing;windows-push-notifications","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: default","767c7c3d-a273-4713-9f10-7906438593e5","any","none","Used","4","47","2023-02-17 11:25:36","2023-02-07 11:23:47"
"160","lnxhksweb-k1","PA01","none","none","universal","trust","10.108.1.75","any","any","untrust","any","any","any","any","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: default","532fbd63-28a1-44e5-a5b1-d085eec144cc","any","none","Partially Used","4","11","2023-03-13 16:31:57","2023-03-13 16:14:47"
"161","LNX_Systeme_Outgoing","PA01","none","none","universal","trust","LNX_Systeme","any","any","untrust","any","any","dnf;ftp;ssh;ssl;web-browsing","any","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: default","00bf2c12-1fe0-4c97-bafa-14889e85f634","any","none","Used","3","98","2023-02-14 14:04:50","2021-07-29 13:42:50"
"162","Trendmicro","PA01","none","none","universal","trust","iwsva1;tmcss;WI216DSM2-P;WI216TMCM1;wi219apo-p1","any","any","untrust","any","any","bing-maps;soap;ssl;web-browsing;windows-azure-base;windows-push-notifications","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","df0fe03f-eb63-41c5-9306-278ee59a2ce5","any","none","Used","7","69","2023-02-08 14:58:00","2023-02-06 11:43:25"
"163","vCenter","PA01","none","none","universal","trust","vcenter;vdivc","any","any","untrust","any","any","ssl","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","df3ca638-b1cd-42bc-a654-a4288a805320","any","none","Used","1","106","2023-02-08 12:35:18","2023-02-06 11:38:41"
"164","WI222SARPE-P1","PA01","none","none","universal","trust","WI222SARPE-P1","any","any","untrust","any","any","soap;ssl;windows-azure-base","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","b4f97791-5ea5-431a-82c2-71d1c52ad407","any","none","Used","4","67","2023-02-08 13:47:00","2023-02-06 11:06:20"
"165","lnxmis","PA01","none","none","universal","trust","lnxmis-p1;lnxmis-t1","any","any","untrust","any","any","ssl;web-browsing","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","61c91266-6684-4e9d-86a2-3fbff30170ad","any","Mitarbeiter Informations System","Used","3","68","2023-02-09 08:22:56","2023-02-06 10:59:16"
"166","WI216CTI01","PA01","none","none","universal","trust","wi216cti01","any","any","untrust","any","any","apple-push-notifications;firebase-cloud-messaging;google-base;ssl;windows-push-notifications","any","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: default","1a6f3292-6157-48bc-8f6c-74465dc7225f","any","none","Used","5","103","2023-02-08 15:37:47","2021-07-29 13:42:50"
"167","Tableau","PA01","none","none","universal","trust","WI216TABLE01;WI219TABLEAU-P2;WI219TABLEAU-T1;WI219TABLEXT-P1","any","any","untrust","DE;EU;IE;US","any","google-base;ssl","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","eee3ecce-aa7b-49d6-b129-4277d12f80da","any","AWS Zugriff","Used","3","56","2023-05-11 16:10:31","2023-02-06 09:48:19"
"168","Extern_DNS","PA01","none","Internetzugriff_ALLE","universal","trust","Domaincontroller-Gruppe","any","any","untrust","any","any","dns-base","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","578d17fb-68e3-42ad-a11d-6d5af04d15e5","any","none","Used","4","49","2023-02-06 12:42:14","2023-02-06 09:11:30"
"169","Domaincontroller_Block","PA01","none","Internetzugriff_ALLE","universal","trust","Domaincontroller-Gruppe","any","any","untrust","any","any","any","application-default","any","Deny","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","c6d4b1e3-fc17-4287-8809-bdf74be90e7a","any","none","Used","0","-","2023-02-10 15:09:47","2023-02-08 15:04:57"
"170","WI216PRTG1 zu WAN all","PA01","none","none","universal","trust","WI216PRTG-P2","any","any","untrust","any","any","any","any","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict","Traffic log sent at session end;Log Forwarding Profile setting: default","485657eb-4cd2-427e-a3c4-77e846c761d8","any","none","Used","15","68","2023-05-23 11:34:20","2021-07-29 13:42:50"
"171","SCCM Internet Allow all","PA01","SCCM","none","universal","trust","wi216sccm1","any","any","untrust","any","any","discard;ms-office365-base;ocsp;ssl;web-browsing","any","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","e578e6f7-8c27-4d85-9ce7-ab340f2cb22d","any","none","Used","5","49","2023-05-23 11:34:20","2021-07-29 13:42:50"
"172","Internetzugriff CRL und AIA","PA01","none","none","universal","dmz;trust","any","any","any","untrust","any","any","CRL;ocsp","application-default","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;File Blocking: Executable","Traffic log sent at session end;Log Forwarding Profile setting: default","d996431a-92fe-4a4f-bab0-221769b7a3ff","any","none","Used","5","58","2023-05-23 11:34:20","2021-07-29 13:42:50"
"173","[Disabled]  Internetzugriff_Management_Netz","PA01","[Disabled]  Internetzugriff_ALLE;[Disabled]  TEMP","[Disabled]  Internetzugriff_ALLE","[Disabled] universal","[Disabled]  trust","[Disabled]  VLan-3310-3353_MGMT_VLan","[Disabled]  any","[Disabled]  any","[Disabled]  untrust","[Disabled]  any","[Disabled]  any","[Disabled]  any","[Disabled]  application-default","[Disabled]  any","[Disabled]  Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","8c8c88de-dbf4-4cfb-b92e-3a0b08400a97","[Disabled] any","[Disabled]  Temporär zum Update von iDrac etc.","Unused","6","74","2023-03-23 12:36:24","2023-02-23 14:31:59"
"174","[Disabled]  Internetzugriff_Server","PA01","[Disabled]  Internetzugriff_ALLE","[Disabled]  Internetzugriff_ALLE","[Disabled] universal","[Disabled]  trust","[Disabled]  VLan-2105_Server_Netz_10.105.10;[Disabled]  VLan-2105_Server_Netz_10.105.26;[Disabled]  VLan-2105_Server_Netz_10.105.27;[Disabled]  VLan-2110_Extranet-LAN-P;[Disabled]  VLan-2111_Extranet-LAN-K;[Disabled]  VLan-3310-3353_MGMT_VLan","[Disabled]  any","[Disabled]  any","[Disabled]  untrust","[Disabled]  any","[Disabled]  any","[Disabled]  any","[Disabled]  DNS-TCP;[Disabled]  DNS-UDP;[Disabled]  ftp 21;[Disabled]  service-http;[Disabled]  service-https;[Disabled]  service-ssh;[Disabled]  TCP8083;[Disabled]  TCP8084","[Disabled]  any","[Disabled]  Deny","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","52029e68-fb32-4064-936a-48fae22079e1","[Disabled] any","[Disabled]  MM: am 09.02.2023 auf deny gestellt","Used","113","117","2023-02-28 09:02:04","2021-07-29 13:42:50"
"175","IT_Vertrieb_HKS_Update","PA01","none","none","universal","SSL-VPN;trust","any","haecker-dom\dl_pa_it-vertrieb","any","untrust","HKSUpdateSrv","any","ftp;ssl;web-browsing","any","any","Allow","Profile Group: undefined","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","ca2ff806-3ec4-4ff1-bee2-4ef3e1346e99","any","none","Partially Used","3","231","2022-09-28 12:57:18","2022-09-28 06:58:35"
"176","IT_Vertrieb_GMX","PA01","none","none","universal","SSL-VPN;trust","any","haecker-dom\dl_pa_it-vertrieb","any","untrust","any","any","aim-mail;Internetzugriff_ALLE-Apps;pop3;smtp;unknown-udp","any","any","Allow","Profile Group: Haecker_Vewaltung_ohne_File","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","749c8cc1-38e8-484b-bac0-510ff87c4cb8","any","Kai Wiebusch, Wießköppel und Warning - mit Carat GMX Mail abfragen","Used","106","50","2022-09-20 08:03:37","2021-07-29 13:42:50"
"177","Internetzugriff_ALLE-IP_AdobeCC","PA01","Internetzugriff_ALLE","Internetzugriff_ALLE","universal","HKA;trust","VLan-3200-3252_TK-Voice;HKA Netz;VLan-2125_VDI_Client_LAN;VLan-3010-3054_Verwaltung_10.80","any","any","untrust","any","any","adobe-creative-cloud-base;okta","any","any","Allow","Profile Group: Haecker_Vewaltung_ohne_File","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","9c725063-7fdb-4223-942c-b3bf3c19ac7f","any","BV Februar 2018","Used","2","575","2021-12-08 13:01:44","2021-07-29 13:42:50"
"178","Internetzugriff_ALLE-IP-VPN","PA01","Internetzugriff_ALLE","Internetzugriff_ALLE","universal","SSL-VPN","VPN-AlwaysOn-Clients;VPN-AlwaysOn-Clients-NoSplitTunnel","any","any","untrust","any","any","Internetzugriff_ALLE-Apps","any","any","Allow","Profile Group: Haecker_Vewaltung","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","93c65c48-d34a-49a8-89cc-105bcbd293f9","any","BV Februar 2018","Used","154","22","2022-02-16 07:29:20","2022-01-11 12:46:41"
"179","Internetzugriff_ALLE-IP","PA01","Internetzugriff_ALLE","Internetzugriff_ALLE","universal","HKA;trust","HKA Netz;Roe_VLan-248_WLAN-HKPRODX;Roe_VLan-2491_IT-Infrastruktur;Roe_VLan-2492_IT-SWE;VLan-2125_VDI_Client_LAN;VLan-3010-3054_Verwaltung_10.80;VLan-3200-3252_TK-Voice;wi219ets01","any","any","untrust","any","any","Internetzugriff_ALLE-Apps","any","any","Allow","Profile Group: Haecker_Vewaltung","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","89c1a4fa-1efd-4734-99da-1b7cd9e7eeaa","any","BV Februar 2018","Used","196","32","2021-12-08 13:01:44","2021-07-29 13:42:50"
"180","LAN zu DMZ Poolfahrzeuge","PA01","none","none","universal","trust","any","any","any","DMZ_Public","poolfahrzeuge.haecker-kuechen.de","any","any","application-default","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: default","8962eeaa-657d-40f6-9b68-4c08549f3832","any","none","Used","36","331","2021-07-29 14:31:05","2021-07-29 13:42:50"
"181","Internetzugriff_ALLE","PA01","Internetzugriff_ALLE","Internetzugriff_ALLE","universal","trust","any","haecker-dom\dl_pa_caratuser-schulung_sg;haecker-dom\internetzugriff_alle","any","untrust","any","any","Internetzugriff_ALLE-Apps","any","any","Allow","Profile Group: Haecker_Vewaltung","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","da8271f1-a12f-4f4a-878e-25b0de9145fa","any","BV Februar 2018","Used","149","25","2021-07-29 13:42:50","2021-07-29 13:42:50"
"182","IMAServiceportal","PA01","Produktion","Produktion","universal","trust","any","haecker-dom\imaserviceportal_sg","any","untrust","IMA-Schelling_Service;IMA-Schelling_service-legacy;IMA-Schelling_Service_FQDN;IMA-Schelling_Service_FQDN-1;IMA-Schelling_Service_Portal;IMA_Service_Portal;IMA_Service_Portal-DNS","any","any","any","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;URL Filtering: IMA Serviceportal;File Blocking: Executable;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: default","541fa001-a759-4d36-9616-d5bfd2db6158","any","none","Unused","0","-","2022-05-17 08:17:22","2021-07-29 13:42:50"
"183","Teamviewer_GRP","PA01","Produktion","Produktion","universal","trust","any","haecker-dom\teamviewer","any","untrust","any","any","adobe-flash-socketpolicy-server;fastviewer;flash;netviewer;ssh;ssl;teamviewer;web-browsing","any","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict;URL Filtering: Teamviewer;File Blocking: Executable-Wildfire-Pruefung;WildFire Analysis: Executable-Wildfire-Pruefung-WildFire","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","b8adc689-fe10-42af-8a02-c66f4e5de18e","any","none","Used","7","69","2021-07-29 13:42:50","2021-07-29 13:42:50"
"184","OPCRouter","PA01","none","none","universal","trust","WI216OPCROUTER1","any","any","untrust","any","any","any","InfluxDBConnection","any","Allow","none","Traffic log sent at session end;Log Forwarding Profile setting: Splunk syslog without traffic","249a9404-a871-4f1f-9fde-eaa201e01a87","any","none","Unused","0","-","2021-07-29 13:42:50","2021-07-29 13:42:50"
"185","AudioCodes Verwaltung von Trust","PA01","Internet","none","universal","trust;untrust","any","any","any","DMZ_Public;untrust","sbc.haecker-kuechen.de;sbcewe.haecker-kuechen.de","any","any","Unity_HTTPS_9443","any","Allow","Antivirus: HK-default;Anti-Spyware: HK-strict;Vulnerability Protection: HK-VP-strict","Traffic log sent at session end;Log Forwarding Profile setting: default","394dda0b-7c6a-4a30-b2e1-418a30126f1e","any","Internet","Partially Used","14","534","2022-02-10 11:42:08","2021-07-29 13:42:50"
